                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.40527,                0.55936,                0.95766,                0.99735,                      1,                  0.995,                0.95671,                0.29623,                0.51278,                0.80778,             0.00026894,             0.00026894,             0.00026894
                     84,                0.42475,                0.56913,                0.95338,                0.99716,                      1,                  0.995,                0.95972,                0.28493,                0.49855,                0.80491,             0.00025479,             0.00025479,             0.00025479
                     85,                0.40042,                0.52887,                0.93777,                0.99677,                0.99996,                  0.995,                 0.9638,                0.27275,                0.48959,                0.80086,             0.00024064,             0.00024064,             0.00024064
                     86,                0.37347,                0.55033,                0.93274,                0.99672,                 0.9998,                  0.995,                0.96279,                0.26634,                0.48575,                0.79942,              0.0002265,              0.0002265,              0.0002265
                     87,                0.39559,                0.52825,                0.95206,                 0.9968,                0.99975,                  0.995,                0.96238,                0.26778,                0.48243,                0.80052,             0.00021235,             0.00021235,             0.00021235
                     88,                0.39913,                0.51809,                0.94549,                0.99666,                0.99979,                  0.995,                0.96119,                0.27114,                 0.4781,                0.80249,              0.0001982,              0.0001982,              0.0001982
                     89,                0.38961,                0.55385,                0.95307,                0.99642,                0.99975,                  0.995,                0.95716,                0.27195,                0.47485,                0.80352,             0.00018406,             0.00018406,             0.00018406
                     90,                0.38557,                0.51957,                0.92858,                0.99688,                      1,                  0.995,                0.95585,                0.27249,                0.47155,                0.80389,             0.00016991,             0.00016991,             0.00016991
                     91,                0.29418,                 0.6244,                0.87506,                0.99702,                      1,                  0.995,                0.95895,                0.27399,                0.46931,                0.80444,             0.00015576,             0.00015576,             0.00015576
                     92,                 0.3078,                0.55688,                0.86375,                0.99644,                0.99973,                  0.995,                0.95957,                0.27003,                0.47186,                0.80313,             0.00014161,             0.00014161,             0.00014161
                     93,                0.27698,                0.56398,                 0.8593,                0.99537,                0.99923,                  0.995,                0.96197,                0.26559,                 0.4807,                0.80053,             0.00012747,             0.00012747,             0.00012747
                     94,                0.28514,                0.51351,                0.85914,                0.99489,                0.99908,                  0.995,                0.96386,                0.26462,                0.49413,                0.79939,             0.00011332,             0.00011332,             0.00011332
                     95,                0.29016,                0.53556,                0.85324,                0.99459,                0.99901,                  0.995,                0.96214,                0.26339,                0.50563,                0.79866,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.26511,                0.52638,                0.86213,                0.99572,                0.99786,                  0.995,                0.96507,                0.25774,                 0.5136,                0.79599,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.26129,                0.51608,                0.85144,                0.99824,                0.99582,                  0.995,                0.96605,                0.25074,                0.51952,                0.79327,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.27424,                0.56034,                  0.837,                0.99794,                 0.9967,                  0.995,                0.96919,                0.24616,                0.52158,                0.79116,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.27703,                0.58368,                0.88953,                0.99793,                0.99724,                  0.995,                0.96803,                0.24367,                 0.5208,                0.79027,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.25863,                0.54958,                0.83276,                0.99684,                0.99889,                  0.995,                0.96833,                0.24238,                0.51724,                0.78953,             2.8437e-05,             2.8437e-05,             2.8437e-05
